Sales,"Clarinet Institute Music Archives"
"Date Pulled","Aug 19, 2024"
"Report Range","Jul 20, 2020","Aug 19, 2024"
Grouping,day

"Key Stats"
,Count,Trend
Sales,96475.03999999963,-45
Orders,2610,-54
"Conversion Rate",0.7,-
"Average Order Value",32.854297,6
"Sales Per Visit",0.26,-
"Units Sold",3798,-54

Comparison
,Sales,Orders
2022-11-24,33.9,1
2022-11-25,0,0
2022-11-26,62.94,1
2022-11-27,92.9,1
2022-11-28,0,0
2022-11-29,62.9,2
2022-11-30,0,0
2022-12-01,18.35,1
2022-12-02,79.85,1
2022-12-03,0,0
2022-12-04,97.25,3
2022-12-05,0,0
2022-12-06,0,0
2022-12-07,133.5,4
2022-12-08,0,0
2022-12-09,0,0
2022-12-10,0,0
2022-12-11,0,0
2022-12-12,108.85,3
2022-12-13,84.6,3
2022-12-14,256.39,8
2022-12-15,156.75,5
2022-12-16,434.55,3
2022-12-17,190.15,3
2022-12-18,33.9,1
2022-12-19,18.35,1
2022-12-20,99.75,4
2022-12-21,119.9,5
2022-12-22,0,0
2022-12-23,0,0
2022-12-24,33.9,1
2022-12-25,0,0
2022-12-26,16.95,1
2022-12-27,111.8,1
2022-12-28,250.6,2
2022-12-29,0,0
2022-12-30,0,0
2022-12-31,0,0
2023-01-01,238.9,1
2023-01-02,14.95,1
2023-01-03,81.8,2
2023-01-04,32.35,1
2023-01-05,0,0
2023-01-06,108.55,3
2023-01-07,16.95,1
2023-01-08,31.95,1
2023-01-09,0,0
2023-01-10,0,0
2023-01-11,0,0
2023-01-12,62.9,2
2023-01-13,0,0
2023-01-14,0,0
2023-01-15,176.55,2
2023-01-16,0,0
2023-01-17,47.35,1
2023-01-18,0,0
2023-01-19,18.35,1
2023-01-20,16.95,1
2023-01-21,0,0
2023-01-22,36.7,1
2023-01-23,65.85,1
2023-01-24,0,0
2023-01-25,101.15,3
2023-01-26,69,1
2023-01-27,0,0
2023-01-28,0,0
2023-01-29,69,1
2023-01-30,16.95,1
2023-01-31,0,0
2023-02-01,16.95,1
2023-02-02,0,0
2023-02-03,0,0
2023-02-04,0,0
2023-02-05,63.35,1
2023-02-06,0,0
2023-02-07,163.65,5
2023-02-08,0,0
2023-02-09,0,0
2023-02-10,0,0
2023-02-11,0,0
2023-02-12,0,0
2023-02-13,0,0
2023-02-14,0,0
2023-02-15,79.85,2
2023-02-16,0,0
2023-02-17,0,0
